node   1  (   0,    0) (   7,    3) (  23,    4) (  19,    4) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1)
          (   2,    2) (   3,    3) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   4,    4)
          (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   4,    4) (   1,    1) (   3,    3) (   1,    1) (   1,    1)
          (   3,    3) (   3,    3) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   3,    3)
          (   2,    2) (   0,    1) (   1,    1) (   1,    0) (   1,    0) (   2,    2) (   2,    2) (   1,    2) (   1,    1) (   1,    1)
          (   3,    3) (   4,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    3) (   2,    2)
          (   1,    1) (  14,    4) (   5,    5) (   2,    2) (   3,    4) (   4,    5) (   3,    3) (   7,    6) (   3,    3) (   1,    3)
          (   3,    4) (   2,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   4,    4) (   1,    1) (   3,    6)
          (   4,    3) (   3,    3) (   5,    4) (   4,    6) (   1,    1) (   2,    1) (   4,    4) (   3,    3) (   2,    2) (   2,    2)
          (   0,    0) (   3,    3) (   1,    1) (   2,    2) (   2,    1) (   2,    3) (   2,    2) (   0,    1) (   4,    4) (   2,    1)
          (   3,    2) (   1,    2) (   4,    4) (   4,    4) (   1,    1) (   2,    2) (   3,    4) (   1,    1) (   4,    2) (   1,    2)
          (   4,    4) (   1,    1) (   0,    2) (   2,    2) (   1,    0) (   2,    2) (   2,    2) (   2,    2) (   3,    4) (   1,    1)
          (   1,    2) (   4,    4) (   2,    1) (   1,    1) (   2,    2) (   2,    4) (   1,    0) (   4,    5) (   1,    2) (   2,    1)
          (   3,    2) (   4,    4) (   1,    2) (   1,    0) (   3,    4) (   2,    2) (   3,    4) (   3,    3) (   2,    2) (   1,    1)
          (   2,    2) (   1,    1) (   1,    2) (   4,    5) (   1,    1) (   3,    3) (   5,    3) (   2,    2) (   2,    2) (   0,    2)
          (   2,    5) (   2,    1) (   2,    2) (   2,    3) (   5,    6) (   3,    4) (   2,    1) (   4,    4) (   2,    2) (   3,    2)
          (   2,    3) (   2,    3) (   2,    2) (   3,    3) (   2,    3) (   5,    7) (   2,    2) (   2,    2) (   5,    6) (   4,    4)
          (   2,    2) (   2,    2) (   5,    5) (   1,    1) (   3,    3) (   5,    3) (   3,    3) (   3,    4) (   1,    1) (   2,    3)
          (   2,    3) (   3,    3) (   0,    1) (   3,    3) (   1,    0) (   1,    1) (   3,    3) (   1,    0) (   6,    6) (   1,    1)
          (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   2,    2)
          (   4,    4) (   1,    1) (   0,    1) (   2,    2) (   2,    1) (   2,    2) (   1,    1) (   2,    2) (   6,    2) (   2,    3)
          (   5,    5) (   3,    3) (   3,    4) (   2,    3) (   3,    3) (   2,    2) (   1,    1) (   3,    3) (   4,    4) (   3,    3)
          (   4,    5) (   2,    3) (   1,    1) (   1,    1) (   2,    2) (   4,    6) (   2,    3) (   3,    3) (   2,    1) (   3,    3)
          (   2,    2) (   2,    2) (   4,    4) (   4,    4) (   1,    1) (   1,    1) (   2,    2) (   4,    5) (   3,    3) (   2,    1)
          (   1,    1) (   4,    4) (   4,    4) (   1,    1) (   1,    0) (   0,    1) (   3,    3) (   1,    0) (   5,    5) (   3,    3)
          (   5,    5) (   3,    3) (   3,    2) (   2,    2) (   3,    2) (   3,    4) (   3,    4) (   2,    3) (   2,    2) (   2,    3)
          (   2,    2) (   1,    1) (   4,    5) (   4,    4) (   2,    2) (   2,    3) (   1,    1) (   3,    3) (   0,    1) (   2,    2)
          (   2,    2) (   2,    3) (   4,    4) (   3,    3) (   3,    2) (   4,    4) (   1,    1) (   2,    1) (   2,    4) (   5,    5)
          (   2,    2) (   1,    2) (   2,    2) (   1,    1) (   3,    3) (   2,    3) (   1,    1) (   1,    1) (   1,    1) (   3,    3)
          (   1,    1) (   1,    2) (   1,    1) (   1,    1) (   4,    4) (   4,    4) (   1,    1) (   1,    1) (   3,    3) (   2,    2)
          (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   3,    3)
          (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    2) (   2,    2) (   1,    1) (   3,    3)
          (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   2,    2)
          (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1)
          (   3,    3) (   1,    1) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   2,    2)
          (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2)
          (   2,    2) (   2,    2) (   2,    3) (   3,    3) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   2,    2)
          (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1)
          (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2)
          (   2,    2) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   2,    2)
          (   3,    3) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   3,    3) (   1,    2) (   2,    2) (   1,    1) (   2,    2)
          (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   3,    3) (   2,    2)
          (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1)
          (   3,    3) (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   3,    3) (   1,    1) (   1,    1) (   2,    2) (   2,    2)
          (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   3,    3) (   2,    2) (   1,    1) (   2,    2) (   1,    1)
          (   3,    3) (   3,    3) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   3,    3) (   3,    3) (   2,    2) (   1,    1)
          (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   1,    1) (   2,    2)
          (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   2,    3)
          (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   3,    3) (   1,    1) (   2,    2) (   1,    1) (   2,    2)
          (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   4,    4) (   2,    2) (   2,    2)
          (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   3,    3) (   2,    2) (   3,    3)
          (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1)
          (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   1,    1) (   3,    3) (   2,    2) (   2,    2)
          (   3,    3) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   1,    1) (   2,    2) (   1,    1)
          (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   2,    2)
          (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   3,    3) (   2,    2)
          (   1,    1) (   3,    3) (   1,    1) (   1,    1) (   1,    1) (   1,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2)
          (   1,    1) (   1,    1) (   2,    2) (   1,    1) (   2,    2) (   1,    1) (   1,    1) (   1,    1) (   3,    3) (   1,    1)
